,name,best_loss_test,best_acc_test,best_loss_val,best_acc_val,best_acc_epochs,best_loss_epochs
0,high.educ_group,0.0546613865799671,0.8783026421136909,0.04971251170858562,0.8847077662129704,9,0
1,female,0.05212489083063326,0.8278622898318655,0.05107880860352344,0.8350680544435548,7,9
2,income_group,0.24062692536841973,0.300240192153723,0.23217861398493794,0.344275420336269,1,1
3,race.ethnicity,0.12882395760358287,0.6293034427542034,0.12449974628140012,0.6637309847878302,4,4
4,married,0.12293979470685924,0.7061649319455564,0.125322169356579,0.7165732586068855,4,1
5,BMI_norm,0.3205879645122348,5.636454085143114,0.2968936184103533,5.219869254778823,0,5
6,age_norm,1.0110997978069955,56.55825910728583,0.9622813485163131,53.827505754603685,0,0
7,vol_norm,0.1870003815552442,0.18763670604452312,0.16291302084636458,0.16346726062490619,0,0
8,weight_norm,0.18890334435517164,102.74612815252202,0.19543459474610939,106.29855134107285,0,4
9,height_norm,0.611253407022493,6.0757809372497995,0.5793282086606786,5.758449337595076,0,7
10,nihtbx_fluidcomp_uncorrected_norm,1.0174624074259409,0.7631598931488941,1.0187768378765512,0.7641457404204614,0,9
11,nihtbx_cryst_uncorrected_norm,1.0485812478107486,0.6454004512203513,1.0450479524244396,0.6432259577193005,0,1
12,nihtbx_pattern_uncorrected_norm,0.9826948472840773,0.8843854380379303,0.9938359867581565,0.8944116230484388,0,3
13,nihtbx_picture_uncorrected_norm,0.9208171224479583,0.8447380951636309,0.9621066970764112,0.8826163469838371,0,5
14,nihtbx_list_uncorrected_norm,1.0574029536128904,0.8372962041508206,1.0061032224216873,0.7966749376063351,0,1
15,nihtbx_flanker_uncorrected_norm,1.05137166373724,0.865084939044986,1.0211434772818255,0.8402126975017514,0,6
16,nihtbx_picvocab_uncorrected_norm,1.1303406006054844,0.7303914909271167,1.051605542246297,0.6795151453193805,0,1
17,nihtbx_cardsort_uncorrected_norm,0.9406267201261009,0.8084934744670736,0.9915120573020917,0.8522310035528423,0,9
18,nihtbx_totalcomp_uncorrected_norm,1.0210152496997598,0.6318528944249149,1.0194985089634208,0.6309138619489342,0,9
19,nihtbx_reading_uncorrected_norm,0.9777962018051941,0.7185946022442954,1.0071529880154124,0.7401693815990292,0,3
