,name,best_loss_test,best_acc_test,best_loss_val,best_acc_val,best_acc_epochs,best_loss_epochs
0,high.educ_group,0.04933697018650076,0.8742994395516414,0.04502400443303862,0.8831064851881505,7,7
1,female,0.12420084993776272,0.5380304243394716,0.13310666844022093,0.5212169735788631,0,0
2,income_group,0.2391946027525145,0.3122497998398719,0.2310882885996297,0.35948759007205766,6,6
3,race.ethnicity,0.14151593491590148,0.6261008807045636,0.1281929718579551,0.6733386709367494,8,1
4,married,0.12093516365827037,0.7149719775820657,0.11817675576007682,0.7301841473178543,8,8
5,BMI_norm,0.254139859739354,4.468189395266213,0.23674159053805544,4.162297806995596,0,3
6,age_norm,1.1389536433834568,63.71006179943955,1.0305252991455665,57.64490342273819,0,0
7,vol_norm,0.4149927363766013,0.4164047546631055,0.3969429205473754,0.39829361047431694,0,8
8,weight_norm,0.5878991767632856,319.763585868695,0.6353061941740893,345.54851381104885,0,3
9,height_norm,0.7401335130604484,7.3568315589971975,0.7001447349285679,6.959347947107686,0,2
10,nihtbx_fluidcomp_uncorrected_norm,1.0422762037755204,0.7817718530292984,1.0280032619845876,0.7710661204745046,0,3
11,nihtbx_cryst_uncorrected_norm,1.0257536107010607,0.6313503928142514,1.0352766588270617,0.6372116247685649,0,5
12,nihtbx_pattern_uncorrected_norm,0.9948899549326962,0.8953600380304243,1.0022750622372898,0.9020067616593275,0,2
13,nihtbx_picture_uncorrected_norm,0.9266506955564452,0.8500896420261209,0.9578149824547137,0.8786793106360088,0,1
14,nihtbx_list_uncorrected_norm,1.0581394803342674,0.8378794832741193,1.011861637747698,0.8012346889230134,0,0
15,nihtbx_flanker_uncorrected_norm,1.048230185711069,0.8624998631717874,1.0159915041408127,0.8359733685385808,0,2
16,nihtbx_picvocab_uncorrected_norm,1.1113982005917233,0.7181515231716623,1.0475792743569856,0.6769136500606735,0,6
17,nihtbx_cardsort_uncorrected_norm,0.9488436452286829,0.8155560581277522,0.9882160611301541,0.8493981708804543,0,4
18,nihtbx_totalcomp_uncorrected_norm,1.0095267620346278,0.6247432027653372,1.0032620823221077,0.6208662242293835,0,1
19,nihtbx_reading_uncorrected_norm,0.9679370449484588,0.7113488642476481,0.9973678161279024,0.7329782771529724,0,1
