,name,best_loss_test,best_acc_test,best_loss_val,best_acc_val,best_acc_epochs,best_loss_epochs
0,race.ethnicity,0.18515548522802616,0.5340272217774219,0.1841708474201236,0.5764611689351481,0,7
1,high.educ_group,0.060664968742572184,0.8742994395516414,0.059472651363278124,0.8831064851881505,3,5
2,female,0.08243165577383782,0.6645316253002402,0.08668807604677492,0.6269015212169736,2,2
3,married,0.1401054315131793,0.7077662129703763,0.13648919623980435,0.7013610888710968,0,7
4,income_group,0.25503762384907924,0.20576461168935148,0.2527896829182096,0.20896717373899118,7,5
5,BMI_norm,0.4433476957347128,7.79476628177542,0.4167544484806595,7.327217242544036,0,3
6,age_norm,1.1540864527559547,64.55655149119295,1.0336517260683546,57.819762059647715,0,3
7,vol_norm,0.19085038538643415,0.19149983072395416,0.19449402295273718,0.1951557828293885,0,5
8,weight_norm,0.2465188948033427,134.08370446357085,0.2540633336747523,138.18723728983187,0,2
9,height_norm,3.2371232923839073,32.17658189051241,3.1649657616718376,31.45935811148919,0,7
10,nihtbx_fluidcomp_uncorrected_norm,0.9953834161078863,0.7465994768471027,1.0154465369170336,0.7616476970639011,0,6
11,nihtbx_cryst_uncorrected_norm,1.063377068842574,0.6545072972440452,1.0398421276083367,0.6400218319186599,0,6
12,nihtbx_pattern_uncorrected_norm,1.0166944102156725,0.9149835493394716,1.040050790632506,0.9360037834955465,0,7
13,nihtbx_picture_uncorrected_norm,0.9229397189626701,0.8466853560973779,0.9796199264098779,0.8986826179693755,0,6
14,nihtbx_list_uncorrected_norm,1.0573405013072958,0.8372468482598578,1.016085915607486,0.8045792591104133,0,4
15,nihtbx_flanker_uncorrected_norm,1.1685657119445556,0.9615139377126701,1.127354715803893,0.9276052678079963,0,6
16,nihtbx_picvocab_uncorrected_norm,1.1312819787079664,0.730999154792584,1.0615150323383706,0.6859184124643465,0,2
17,nihtbx_cardsort_uncorrected_norm,0.9814269384257406,0.8435625453487791,1.0470150534490092,0.8999372349442054,0,0
18,nihtbx_totalcomp_uncorrected_norm,1.0231547542721677,0.6331767073815302,1.0403571880942253,0.6438220400539182,0,2
19,nihtbx_reading_uncorrected_norm,0.9753804997122698,0.7168195493895116,1.0060412587882805,0.7393523217011109,0,4
